Tide gauge,Fairway,Rkm,Date and Time of status (UTC+1),Actual water level data (cm),
Achleiten,Donau,2223,11/23/2024 3:45,278,
Wilhering,Donau,2144,11/23/2024 3:45,292,
Mauthausen,Donau,2110,11/23/2024 3:45,437,
Grein,Donau,2079,11/23/2024 3:45,720,
Kienstock,Donau,2015,11/23/2024 3:45,234,
Duernstein,Donau,2009,11/23/2024 3:45,326,
Korneuburg,Donau,1941,11/23/2024 3:45,245,
Wildungsmauer,Donau,1894,11/23/2024 3:45,218,
Thebnerstrassl,Donau,1879,11/23/2024 3:45,210,
NAGYBAJCS,Duna,1801,11/23/2024 3:00,129,
SZOB,Duna,1707,11/23/2024 3:00,32,
NAGYMAROS,Duna,1694,11/23/2024 3:00,46,
VAC,Duna,1679,11/23/2024 3:00,61,
GOD,Duna,1671,11/23/2024 3:00,85,
OBUDA,Duna,1654,11/23/2024 3:00,190,
BP-LANCHID,Duna,1647,11/23/2024 3:00,118,
BUDAPEST,Duna,1646,11/23/2024 3:00,162,
BUDAFOK,Duna,1636,11/23/2024 3:00,86,
ERCSI,Duna,1613,11/23/2024 3:00,25,
ADONY,Duna,1597,11/23/2024 3:00,44,
DUNAUJVAROS,Duna,1580,11/23/2024 3:00,11,
DUNAFOLDVAR,Duna,1560,11/23/2024 3:00,-103,
PAKS,Duna,1531,11/23/2024 3:00,20,
DOMBORI,Duna,1506,11/23/2024 3:00,55,
BAJA,Duna,1478,11/23/2024 3:00,157,
DUNASZEKCSO,Duna,1460,11/23/2024 3:00,176,
MOHACS,Duna,1446,11/23/2024 3:00,185,
Бездан,Дунав,1425,11/23/2024 0:00,34,
Богојево,Дунав,1367,11/23/2024 0:00,88,
Нови Сад,Дунав,1255,11/23/2024 0:00,84,
Земун,Дунав,1173,11/23/2024 0:00,212,
Панчево,Дунав,1154,11/23/2024 0:00,241,
Смедерево,Дунав,1116,11/23/2024 0:00,415,
Банатска Паланка,Дунав,1076,11/23/2024 0:00,655,
AHS NOVO SELO,Дунав (Bulgaria),833,11/23/2024 2:45,77,
AHS GOMOTARTSI,Дунав (Bulgaria),819,11/23/2024 3:00,-30,
AHS VIDIN-KALAFAT BRIDGE,Дунав (Bulgaria),796,11/23/2024 3:00,117,
AHS KOZLODUJ,Дунав (Bulgaria),703,11/23/2024 3:00,-80,
AHS ORYAHOVO,Дунав (Bulgaria),678,11/23/2024 2:45,45,
AHS BAJKAL,Дунав (Bulgaria),640,11/23/2024 3:15,-95,
AHS ZAGRAZHDEN,Дунав (Bulgaria),625,11/23/2024 2:30,-87,
AHS SVISHTOV,Дунав (Bulgaria),554,11/23/2024 2:30,83,
Vodomjer Jasenovac,Sava (Croatia),516,11/23/2024 0:00,100,
AHS RUSE-GURGUE BRIDGE,Дунав (Bulgaria),488,11/23/2024 2:30,47,
AHS RYAHOVO,Дунав (Bulgaria),465,11/23/2024 2:30,-179,
AHS MALAK PRESLAVETS,Дунав (Bulgaria),413,11/23/2024 3:00,-87,
AHS SILISTRA,Дунав (Bulgaria),375,11/23/2024 3:00,74,
Vodomjer Slavonski Samac,Sava (Croatia),314,11/23/2024 2:00,-212,
Нови Кнежевац,Тиса,144,11/23/2024 0:00,157,
Сремска Митровица,Сава,139,11/23/2024 0:30,52,
Сента,Тиса,123,11/23/2024 0:00,231,
Брана Нови Бечеј_Горња вода,Тиса,63,11/23/2024 0:00,403,
Cernavodă Canal,Canal Dunăre-Marea Neagră,60,11/23/2024 3:00,383,
Cernavodă SPC Aval,Canal Dunăre-Marea Neagră,59,11/23/2024 3:00,710,
Medgidia,Canal Dunăre-Marea Neagră,37,11/23/2024 3:00,720,
Murfatlar,Canal Dunăre-Marea Neagră,24,11/23/2024 3:00,708,
Ovidiu,Canal Poarta Albă-Midia Năvodari,12,11/23/2024 3:00,725,
Schwedenbruecke,Wiener Donaukanal,6,11/23/2024 3:45,230,
Luminiţa,Canal Luminița,4,11/23/2024 3:00,200,
Agigea,Canal Dunăre-Marea Neagră,1,11/23/2024 3:00,694,
Năvodari,Canal Poarta Albă-Midia Năvodari,1,11/23/2024 3:00,174,
Београд,Сава,0,11/23/2024 0:30,163,
